shipment_id,sku_id,site_type,process_path,error_type,item_mismatch,final_received,overaged_units,unfilled_units,initial_units,unreceived_units,unit_cost,initial_value,final_value,value_distortion,unreceived_value,correction_minutes_est,labor_cost_est_at_$30hr,hazard_flag,compliance_hold
SHIP-6R92W6SZ,SKU-0059,Standard,Automated (SSCC),SSCC Wrong Item + Qty,1,229,14.0,12.0,243,17,17.09,4152.87,3913.61,239.26,290.53,8.2,4.1,0,0
SHIP-K8V3Q5CD,SKU-0058,Standard,Manual,Correct,0,626,0.0,0.0,626,0,5.47,3424.22,3424.22,0.0,0.0,0.1,0.05,0,0
SHIP-SZ3QWT8W,SKU-0154,High-compliance,Automated (SSCC),Correct,0,201,0.0,0.0,201,0,20.94,4208.94,4208.94,0.0,0.0,0.39,0.2,0,0
SHIP-P9D9EK4Z,SKU-0098,High-compliance,Automated (SSCC),SSCC Wrong Item,1,163,21.0,6.0,184,68,6.92,1273.28,1127.96,145.32,470.56,5.38,2.69,0,0
SHIP-9ZWMADKB,SKU-0127,High-compliance,Automated (SSCC),Correct,0,849,1.0,0.0,850,1,15.22,12937.0,12921.78,15.22,15.22,0.44,0.22,0,0
SHIP-S28R695Q,SKU-0088,High-compliance,Automated (SSCC),Correct,0,406,0.0,0.0,406,0,9.34,3792.04,3792.04,0.0,0.0,0.24,0.12,1,0
SHIP-L9HPC3WC,SKU-0080,Standard,Automated (SSCC),Correct,0,732,1.0,1.0,733,1,7.34,5380.22,5372.88,7.34,7.34,0.54,0.27,0,0
SHIP-HTT3J7Q4,SKU-0114,Standard,Automated (SSCC),SSCC Wrong Qty,0,788,20.0,6.0,808,20,3.66,2957.28,2884.08,73.2,73.2,1.16,0.58,0,0
SHIP-HBBM8BMD,SKU-0146,Standard,Automated (SSCC),SSCC Wrong Qty,0,1117,9.0,18.0,1126,9,8.28,9323.28,9248.76,74.52,74.52,1.65,0.82,0,0
SHIP-7X2YX2A5,SKU-0060,Standard,Manual,Correct,0,1702,0.0,0.0,1702,0,4.14,7046.28,7046.28,0.0,0.0,0.4,0.2,0,0
SHIP-ZZN3NB7H,SKU-0145,Standard,Automated (SSCC),SSCC Wrong Item,1,1528,6.0,17.0,1534,31,14.64,22457.76,22369.92,87.84,453.84,9.38,4.69,1,1
SHIP-DVH5QA8S,SKU-0044,Standard,Automated (SSCC),SSCC Wrong Item,1,680,18.0,16.0,698,29,19.27,13450.46,13103.6,346.86,558.83,5.59,2.8,0,0
SHIP-JXSA2NY6,SKU-0073,Standard,Automated (SSCC),SSCC Wrong Item,1,586,15.0,7.0,601,18,6.06,3642.06,3551.16,90.9,109.08,6.38,3.19,0,0
SHIP-VXJHP5SM,SKU-0164,High-compliance,Automated (SSCC),Correct,0,1387,0.0,0.0,1387,0,10.5,14563.5,14563.5,0.0,0.0,0.46,0.23,0,0
SHIP-256KYUQN,SKU-0171,Standard,Automated (SSCC),Correct,0,222,1.0,1.0,223,1,6.28,1400.44,1394.16,6.28,6.28,0.56,0.28,0,0
SHIP-DJT65GXC,SKU-0166,High-compliance,Manual,SSCC Wrong Item,1,972,25.0,5.0,997,46,6.59,6570.23,6405.48,164.75,303.14,11.94,5.97,1,1
SHIP-XLQYP3T9,SKU-0057,Standard,Automated (SSCC),Correct,0,761,0.0,0.0,761,0,13.29,10113.69,10113.69,0.0,0.0,0.31,0.16,0,0
SHIP-WK2PTEDU,SKU-0151,Standard,Automated (SSCC),SSCC Wrong Qty,0,329,26.0,8.0,355,26,8.85,3141.75,2911.65,230.1,230.1,1.29,0.64,0,0
SHIP-F95YZVBN,SKU-0168,Standard,Manual,SSCC Wrong Qty,0,1109,29.0,11.0,1138,29,21.54,24512.52,23887.86,624.66,624.66,1.26,0.63,0,0
SHIP-R7HRMEDM,SKU-0176,High-compliance,Automated (SSCC),Correct,0,577,0.0,0.0,577,0,7.09,4090.93,4090.93,0.0,0.0,0.43,0.22,0,0
SHIP-CCMGTAKQ,SKU-0004,Standard,Manual,SSCC Wrong Qty,0,334,40.0,8.0,374,40,14.87,5561.38,4966.58,594.8,594.8,2.06,1.03,0,0
SHIP-8W6LQP68,SKU-0134,High-compliance,Automated (SSCC),SSCC Wrong Item + Qty,1,1175,8.0,39.0,1183,27,9.48,11214.84,11139.0,75.84,255.96,8.84,4.42,0,0
SHIP-82ST9KM6,SKU-0179,Standard,Automated (SSCC),SSCC Wrong Qty,0,313,25.0,27.0,338,25,13.44,4542.72,4206.72,336.0,336.0,2.58,1.29,0,0
SHIP-NHTL67KS,SKU-0137,High-compliance,Manual,Correct,0,1211,0.0,0.0,1211,0,7.22,8743.42,8743.42,0.0,0.0,0.31,0.16,0,0
SHIP-9ZGUVWAK,SKU-0042,Standard,Manual,SSCC Wrong Item,1,291,18.0,3.0,309,31,8.8,2719.2,2560.8,158.4,272.8,5.78,2.89,0,0
SHIP-5HKLFEM5,SKU-0137,Standard,Manual,Correct,0,782,1.0,1.0,783,1,8.52,6671.16,6662.64,8.52,8.52,0.57,0.28,0,0
SHIP-AKBTJ3U3,SKU-0019,High-compliance,Automated (SSCC),SSCC Wrong Qty,0,1454,26.0,16.0,1480,26,5.94,8791.2,8636.76,154.44,154.44,1.95,0.98,1,0
SHIP-WQ5R89UX,SKU-0087,High-compliance,Manual,SSCC Wrong Item,1,411,10.0,13.0,421,50,12.57,5291.97,5166.27,125.7,628.5,4.76,2.38,0,0
SHIP-J4X6J3RF,SKU-0113,Standard,Automated (SSCC),SSCC Wrong Qty,0,1381,6.0,10.0,1387,6,12.49,17323.63,17248.69,74.94,74.94,1.28,0.64,0,0
SHIP-FTLDPWL8,SKU-0082,Standard,Automated (SSCC),Correct,0,1299,0.0,0.0,1299,0,12.14,15769.86,15769.86,0.0,0.0,0.28,0.14,0,0
SHIP-2S7PEB88,SKU-0126,High-compliance,Automated (SSCC),Correct,0,1624,1.0,0.0,1625,1,19.46,31622.5,31603.04,19.46,19.46,0.45,0.22,1,0
SHIP-ZDKBBHUC,SKU-0044,High-compliance,Automated (SSCC),Correct,0,303,0.0,0.0,303,0,18.63,5644.89,5644.89,0.0,0.0,0.29,0.14,0,0
SHIP-9QJS3LBB,SKU-0109,Standard,Automated (SSCC),Correct,0,1287,0.0,0.0,1287,0,7.48,9626.76,9626.76,0.0,0.0,0.67,0.34,0,0
SHIP-5DWN2B6Y,SKU-0116,Standard,Automated (SSCC),Correct,0,1686,0.0,0.0,1686,0,10.88,18343.68,18343.68,0.0,0.0,0.53,0.26,0,0
SHIP-QG9KRNHP,SKU-0114,Standard,Automated (SSCC),SSCC Wrong Qty,0,1373,11.0,10.0,1384,11,6.61,9148.24,9075.53,72.71,72.71,0.97,0.48,0,0
SHIP-EAKDP5FA,SKU-0052,High-compliance,Manual,Correct,0,338,1.0,0.0,339,1,9.13,3095.07,3085.94,9.13,9.13,0.52,0.26,0,0
SHIP-DSJRALPP,SKU-0055,Standard,Manual,SSCC Wrong Qty,0,1479,38.0,18.0,1517,38,6.69,10148.73,9894.51,254.22,254.22,1.97,0.98,0,0
SHIP-T2Q4SJHL,SKU-0047,High-compliance,Automated (SSCC),SSCC Wrong Item,1,193,20.0,19.0,213,21,20.29,4321.77,3915.97,405.8,426.09,8.29,4.14,0,0
SHIP-VH7R5XLH,SKU-0083,High-compliance,Manual,Correct,0,1059,0.0,0.0,1059,0,10.82,11458.38,11458.38,0.0,0.0,0.51,0.26,1,0
SHIP-ZLH7RBRQ,SKU-0105,Standard,Automated (SSCC),SSCC Wrong Qty,0,895,36.0,0.0,931,36,8.09,7531.79,7240.55,291.24,291.24,1.72,0.86,0,0
SHIP-5YGEVBLE,SKU-0065,High-compliance,Automated (SSCC),SSCC Wrong Qty,0,955,26.0,7.0,981,26,16.39,16078.59,15652.45,426.14,426.14,1.38,0.69,0,0
SHIP-A7CA7G4B,SKU-0074,Standard,Manual,Correct,0,935,1.0,1.0,936,1,3.05,2854.8,2851.75,3.05,3.05,0.45,0.22,0,0
SHIP-EDYVRHCU,SKU-0052,Standard,Automated (SSCC),Correct,0,56,0.0,0.0,56,0,3.3,184.8,184.8,0.0,0.0,0.46,0.23,1,0
SHIP-HUX5RAJ5,SKU-0040,Standard,Automated (SSCC),SSCC Wrong Qty,0,914,17.0,19.0,931,17,13.44,12512.64,12284.16,228.48,228.48,0.87,0.44,1,0
SHIP-TVQF6295,SKU-0118,Standard,Automated (SSCC),SSCC Wrong Item + Qty,1,1686,23.0,11.0,1709,50,9.3,15893.7,15679.8,213.9,465.0,4.45,2.22,0,0
SHIP-KJH7TQ8V,SKU-0147,High-compliance,Automated (SSCC),SSCC Wrong Qty,0,786,9.0,0.0,795,9,10.23,8132.85,8040.78,92.07,92.07,0.84,0.42,0,0
SHIP-79CMZ4EL,SKU-0053,High-compliance,Manual,SSCC Wrong Item,1,498,6.0,17.0,504,19,4.65,2343.6,2315.7,27.9,88.35,7.98,3.99,0,0
SHIP-T3DVKGSP,SKU-0155,High-compliance,Automated (SSCC),SSCC Wrong Item + Qty,1,1790,45.0,14.0,1835,73,8.92,16368.2,15966.8,401.4,651.16,8.99,4.5,1,1
SHIP-WL4C5AZM,SKU-0103,Standard,Automated (SSCC),Correct,0,178,0.0,0.0,178,0,24.58,4375.24,4375.24,0.0,0.0,0.46,0.23,0,0
SHIP-NAYFXZ5Y,SKU-0031,Standard,Automated (SSCC),SSCC Wrong Qty,0,875,35.0,7.0,910,35,13.63,12403.3,11926.25,477.05,477.05,1.6,0.8,0,0
SHIP-KZ4LD6EV,SKU-0066,High-compliance,Automated (SSCC),Correct,0,922,0.0,0.0,922,0,9.82,9054.04,9054.04,0.0,0.0,0.66,0.33,0,0
SHIP-HE2EXYBF,SKU-0002,High-compliance,Automated (SSCC),SSCC Wrong Item + Qty,1,860,68.0,22.0,928,99,7.25,6728.0,6235.0,493.0,717.75,8.75,4.38,1,1
SHIP-3SD9JA7A,SKU-0008,High-compliance,Manual,Correct,0,1659,0.0,0.0,1659,0,7.41,12293.19,12293.19,0.0,0.0,0.29,0.14,1,0
SHIP-T9UUNEU6,SKU-0061,Standard,Manual,Correct,0,759,0.0,1.0,759,0,3.11,2360.49,2360.49,0.0,0.0,0.28,0.14,1,0
SHIP-C6PTFVFJ,SKU-0082,Standard,Manual,SSCC Wrong Item,1,1751,21.0,12.0,1772,28,10.27,18198.44,17982.77,215.67,287.56,8.25,4.12,0,0
SHIP-ZBQVEKLX,SKU-0143,Standard,Automated (SSCC),Correct,0,120,0.0,0.0,120,0,13.77,1652.4,1652.4,0.0,0.0,0.19,0.1,1,0
SHIP-94GABVFH,SKU-0025,Standard,Manual,SSCC Wrong Qty,0,1321,14.0,12.0,1335,14,4.1,5473.5,5416.1,57.4,57.4,1.26,0.63,1,0
SHIP-554JVVFT,SKU-0151,High-compliance,Automated (SSCC),Correct,0,1067,1.0,0.0,1068,1,6.48,6920.64,6914.16,6.48,6.48,0.12,0.06,0,0
SHIP-SN2XTZ2U,SKU-0042,Standard,Automated (SSCC),SSCC Wrong Item + Qty,1,432,50.0,48.0,482,58,5.06,2438.92,2185.92,253.0,293.48,8.65,4.32,0,0
SHIP-J2Y9EP7S,SKU-0025,Standard,Automated (SSCC),SSCC Wrong Item,1,410,23.0,5.0,433,28,5.57,2411.81,2283.7,128.11,155.96,4.99,2.5,1,1
SHIP-8AB3MSPP,SKU-0126,High-compliance,Automated (SSCC),Correct,0,1295,1.0,0.0,1296,1,9.27,12013.92,12004.65,9.27,9.27,0.21,0.1,0,0
SHIP-8D26XNFX,SKU-0139,Standard,Manual,SSCC Wrong Qty,0,1147,24.0,5.0,1171,24,3.18,3723.78,3647.46,76.32,76.32,1.49,0.74,0,0
SHIP-REM8JFXG,SKU-0109,High-compliance,Automated (SSCC),Correct,0,1100,1.0,0.0,1101,1,12.27,13509.27,13497.0,12.27,12.27,0.24,0.12,0,0
SHIP-7597HGLR,SKU-0021,Standard,Manual,SSCC Wrong Qty,0,91,37.0,4.0,128,37,13.16,1684.48,1197.56,486.92,486.92,1.28,0.64,0,0
SHIP-6ZW6WNPS,SKU-0021,Standard,Automated (SSCC),SSCC Wrong Qty,0,1076,6.0,18.0,1082,6,7.96,8612.72,8564.96,47.76,47.76,1.36,0.68,0,0
SHIP-CZWZT38U,SKU-0070,Standard,Automated (SSCC),SSCC Wrong Item,1,1766,6.0,13.0,1772,26,2.61,4624.92,4609.26,15.66,67.86,3.94,1.97,0,0
SHIP-QD26Y553,SKU-0081,Standard,Automated (SSCC),Correct,0,31,0.0,0.0,31,0,5.48,169.88,169.88,0.0,0.0,0.51,0.26,0,0
SHIP-SDAGPZQA,SKU-0179,High-compliance,Automated (SSCC),Correct,0,844,0.0,0.0,844,0,16.72,14111.68,14111.68,0.0,0.0,0.25,0.12,1,0
SHIP-G99N3Z76,SKU-0052,Standard,Automated (SSCC),SSCC Wrong Qty,0,889,24.0,23.0,913,24,2.5,2282.5,2222.5,60.0,60.0,1.3,0.65,0,0
SHIP-WNWLMVUU,SKU-0035,Standard,Automated (SSCC),SSCC Wrong Qty,0,1614,31.0,25.0,1645,31,7.59,12485.55,12250.26,235.29,235.29,1.93,0.96,0,0
SHIP-NPAVU7SQ,SKU-0170,Standard,Manual,Correct,0,509,0.0,0.0,509,0,5.0,2545.0,2545.0,0.0,0.0,0.36,0.18,1,0
SHIP-CGLNMN2E,SKU-0028,Standard,Automated (SSCC),Correct,0,856,0.0,1.0,856,0,13.49,11547.44,11547.44,0.0,0.0,0.43,0.22,0,0
SHIP-LFKXBLA8,SKU-0005,High-compliance,Automated (SSCC),Correct,0,1290,0.0,0.0,1290,0,6.44,8307.6,8307.6,0.0,0.0,0.59,0.3,0,0
SHIP-ZHGDR2U6,SKU-0076,Standard,Automated (SSCC),SSCC Wrong Item,1,108,29.0,4.0,137,49,11.04,1512.48,1192.32,320.16,540.96,11.05,5.52,0,0
SHIP-MJRG9FRS,SKU-0072,Standard,Automated (SSCC),Correct,0,1441,0.0,0.0,1441,0,11.97,17248.77,17248.77,0.0,0.0,0.41,0.2,0,0
SHIP-BQQJEBAR,SKU-0111,High-compliance,Automated (SSCC),Correct,0,1479,0.0,1.0,1479,0,22.6,33425.4,33425.4,0.0,0.0,0.58,0.29,0,0
SHIP-C8HWXR6D,SKU-0158,Standard,Automated (SSCC),SSCC Wrong Item + Qty,1,1295,25.0,24.0,1320,51,8.15,10758.0,10554.25,203.75,415.65,5.74,2.87,0,0
SHIP-HJEKL2K6,SKU-0167,Standard,Automated (SSCC),Correct,0,1166,1.0,0.0,1167,1,10.89,12708.63,12697.74,10.89,10.89,0.41,0.2,1,0
SHIP-26D9V9M8,SKU-0052,Standard,Automated (SSCC),SSCC Wrong Qty,0,1345,43.0,13.0,1388,43,4.3,5968.4,5783.5,184.9,184.9,1.37,0.68,0,0
SHIP-UCPE8KHT,SKU-0176,Standard,Automated (SSCC),Correct,0,1407,0.0,0.0,1407,0,16.37,23032.59,23032.59,0.0,0.0,0.14,0.07,0,0
SHIP-PD45ZVNT,SKU-0114,High-compliance,Automated (SSCC),SSCC Wrong Item,1,1626,14.0,13.0,1640,57,6.17,10118.8,10032.42,86.38,351.69,5.54,2.77,1,1
SHIP-SFCJQFD5,SKU-0013,Standard,Automated (SSCC),SSCC Wrong Qty,0,770,27.0,6.0,797,27,6.82,5435.54,5251.4,184.14,184.14,0.78,0.39,0,0
SHIP-MUSZZK5M,SKU-0168,High-compliance,Automated (SSCC),SSCC Wrong Item,1,820,27.0,13.0,847,41,8.93,7563.71,7322.6,241.11,366.13,6.67,3.34,0,0
SHIP-4ND2A2BG,SKU-0025,Standard,Automated (SSCC),Correct,0,1148,1.0,0.0,1149,1,4.13,4745.37,4741.24,4.13,4.13,0.45,0.22,0,0
SHIP-V8PDH6ZD,SKU-0106,Standard,Automated (SSCC),Correct,0,347,0.0,0.0,347,0,10.12,3511.64,3511.64,0.0,0.0,0.56,0.28,0,0
SHIP-NJF5VFWP,SKU-0142,Standard,Manual,SSCC Wrong Qty,0,1541,22.0,6.0,1563,22,14.64,22882.32,22560.24,322.08,322.08,1.22,0.61,0,0
SHIP-BQFH6YE5,SKU-0045,Standard,Automated (SSCC),Correct,0,1386,0.0,0.0,1386,0,10.45,14483.7,14483.7,0.0,0.0,0.36,0.18,0,0
SHIP-U5ZLTSZH,SKU-0049,Standard,Automated (SSCC),Correct,0,1135,0.0,0.0,1135,0,4.08,4630.8,4630.8,0.0,0.0,0.43,0.22,0,0
SHIP-LHKFB8C6,SKU-0086,Standard,Automated (SSCC),Correct,0,542,0.0,0.0,542,0,8.48,4596.16,4596.16,0.0,0.0,0.29,0.14,0,0
SHIP-A2LSKRQS,SKU-0159,Standard,Automated (SSCC),SSCC Wrong Item + Qty,1,625,43.0,9.0,668,85,13.08,8737.44,8175.0,562.44,1111.8,4.42,2.21,0,0
SHIP-NT4PMEME,SKU-0041,Standard,Automated (SSCC),SSCC Wrong Qty,0,782,40.0,5.0,822,40,3.53,2901.66,2760.46,141.2,141.2,1.76,0.88,0,0
SHIP-F8CR48EF,SKU-0119,Standard,Manual,SSCC Wrong Qty,0,1192,13.0,16.0,1205,13,5.27,6350.35,6281.84,68.51,68.51,1.6,0.8,0,0
SHIP-MT8GFJ5A,SKU-0082,High-compliance,Manual,SSCC Wrong Qty,0,1400,18.0,13.0,1418,18,13.99,19837.82,19586.0,251.82,251.82,1.39,0.7,0,0
SHIP-NDF7AL7V,SKU-0021,Standard,Automated (SSCC),Correct,0,1209,0.0,0.0,1209,0,10.33,12488.97,12488.97,0.0,0.0,0.18,0.09,0,0
SHIP-CQ9NSTXF,SKU-0128,Standard,Automated (SSCC),Correct,0,1673,0.0,0.0,1673,0,11.09,18553.57,18553.57,0.0,0.0,0.4,0.2,0,0
SHIP-49E44ZMR,SKU-0150,Standard,Automated (SSCC),Correct,0,1729,1.0,0.0,1730,1,22.87,39565.1,39542.23,22.87,22.87,0.49,0.24,0,0
SHIP-4E47XLTB,SKU-0104,Standard,Automated (SSCC),SSCC Wrong Qty,0,1268,45.0,24.0,1313,45,11.41,14981.33,14467.88,513.45,513.45,1.6,0.8,0,0
SHIP-7LB3XVB2,SKU-0032,High-compliance,Automated (SSCC),Correct,0,667,1.0,0.0,668,1,12.54,8376.72,8364.18,12.54,12.54,0.48,0.24,1,0
SHIP-W34GG7SQ,SKU-0028,Standard,Manual,SSCC Wrong Item,1,1078,23.0,11.0,1101,47,35.0,38535.0,37730.0,805.0,1645.0,4.49,2.24,0,0
SHIP-KW2AT9JJ,SKU-0076,High-compliance,Automated (SSCC),SSCC Wrong Item,1,765,12.0,6.0,777,37,8.11,6301.47,6204.15,97.32,300.07,4.88,2.44,0,0
