shipment_id,seller_mid,warehouse_id,program_type,sku_id,site_type,process_path,defect_root_cause,error_type,item_mismatch,asin_count,boxes_processed,initial_units,final_received,overaged_units,unfilled_units,unreceived_units,unit_cost,initial_value,final_value,value_distortion,unreceived_value,correction_minutes_est,labor_cost_est_at_$30hr,hazard_flag,compliance_hold
FBA5JTB9XXAY,MPNTRFZWKXXJVE,FC-A,HDSC_LITE,SKU-0213,Standard,Automated (SSCC),GTIN-Multi-ASIN-Link,SSCC Wrong Item,1,1,192,768,702,66,46,66,22.77,17487.36,15984.54,1502.82,1502.82,4.83,2.42,0,0
FBAOFT6YRIAD,MDUR82C06XQ9JB,FC-B,HDSC,SKU-0209,High-compliance,Manual,Correct,Correct,0,1,360,5865,5865,0,0,0,16.63,97534.95,97534.95,0.0,0.0,0.21,0.1,1,0
FBAGMPW5D3GO,M8JN42X2EZC7FO,FC-A,HDSC_LITE,SKU-0152,Standard,Manual,Correct,Correct,0,1,331,10869,10869,1.6,0.4,0,27.93,303571.17,303571.17,0.0,0.0,0.21,0.1,0,0
FBAOBJLZY1UU,M9YMSZDXIMYN4U,FC-A,HDSC,SKU-0157,Standard,Automated (SSCC),Correct,Correct,0,1,454,1851,1851,0,1.0,0,30.26,56011.26,56011.26,0.0,0.0,0.21,0.1,0,0
FBAIXOIQ2Q4Q,MERXDOUADVWKSH,FC-D,HDSC_LITE,SKU-0172,High-compliance,Manual,MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,36,259,3885,3710,175,93,175,29.41,114257.85,109111.1,5146.75,5146.75,34.55,17.27,0,0
FBAQDXAMW2TN,MD6R30OJHE4H3G,FC-F,HDSC,SKU-0087,Standard,Automated (SSCC),GTIN-Multi-ASIN-Link,SSCC Wrong Item,1,1,366,5953,5528,425,23,425,32.65,194365.45,180489.2,13876.25,13876.25,13.28,6.64,0,0
FBA0TPV726YG,M3DXVL5PVYIOMK,FC-F,HDSC,SKU-0207,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,64,271,1355,1319,36,52,36,22.28,30189.4,29387.32,802.08,802.08,56.08,28.04,0,0
FBAWKMY9X8SY,MLEMRUYP04K43S,FC-B,HDSC,SKU-0007,High-compliance,Automated (SSCC),Unscannable-Barcode,Unscannable Barcode,0,1,107,3292,3217,75,13,7,9.4,30944.8,30239.8,705.0,65.8,11.95,5.97,0,0
FBAQWYUIXNS2,MZYBNO2Y8B0H54,FC-A,HDSC_LITE,SKU-0114,Standard,Manual,MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,5,416,5877,5228,649,331,649,14.77,86803.29,77217.56,9585.73,9585.73,11.29,5.64,0,1
FBA80EBKJF4A,MQ7B7V1W4K2TCZ,FC-A,HDSC_LITE,SKU-0135,Standard,Automated (SSCC),SSCC-Item-Mismatch,SSCC Wrong Item,1,1,95,1221,1173,48,66,48,5.18,6324.78,6076.14,248.64,248.64,8.22,4.11,0,0
FBAK8WRU1XEM,MIX7IB5N2EJ0AS,FC-A,HDSC_LITE,SKU-0198,Standard,Automated (SSCC),Manufacturer-Barcode-Missing,Missing Barcode,0,1,184,5425,4898,527,260,456,18.58,100796.5,91004.84,9791.66,8472.48,5.04,2.52,0,0
FBAACY15PDTZ,M91X70FQLDB2UU,FC-A,HDSC_LITE,SKU-0059,Standard,Automated (SSCC),Correct,Correct,0,1,273,8815,8815,0.8,1.3,0,13.12,115652.8,115652.8,0.0,0.0,0.21,0.1,0,0
FBA7D2KD1POX,MRTEO2T8FY620N,FC-A,HDSC,SKU-0244,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,6,183,1190,1048,142,71,142,7.52,8948.8,7880.96,1067.84,1067.84,1.44,0.72,0,0
FBA64FGWJEYU,MB19TXCYJHU8MY,FC-A,HDSC_LITE,SKU-0061,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,45,211,3470,3324,146,158,146,5.23,18148.1,17384.52,763.58,763.58,10.74,5.37,0,0
FBALPAIH0P4E,M05QMKTGV44FTJ,FC-F,HDSC_LITE,SKU-0227,Standard,Manual,SSCC-Wrong-Qty,SSCC Wrong Qty,0,1,413,8673,8516,157,77,4,30.19,261837.87,257098.04,4739.83,120.76,10.14,5.07,0,0
FBA9Q1NI10KQ,MSOSX43WFSQG8X,FC-A,HDSC_LITE,SKU-0248,Standard,Automated (SSCC),SSCC-Wrong-Qty,SSCC Wrong Qty,0,1,457,8905,7914,991,367,41,10.0,89050.0,79140.0,9910.0,410.0,7.95,3.98,1,0
FBAQQB9LZS34,MJTGXNX4SN6SM5,FC-A,HDSC,SKU-0125,Standard,Automated (SSCC),Correct,Correct,0,1,198,5919,5919,0,0,0,17.08,101096.52,101096.52,0.0,0.0,0.21,0.1,0,0
FBAZEI3ZRRHF,M4ABUFWBUCJG8V,FC-B,HDSC_LITE,SKU-0145,High-compliance,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,21,308,6468,6448,20,368,20,26.3,170108.4,169582.4,526.0,526.0,25.44,12.72,0,1
FBA23GXJ0MQV,MINDH4SPFDRWB2,FC-D,HDSC,SKU-0129,High-compliance,Manual,MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,53,73,9845,9654,191,493,191,24.1,237264.5,232661.4,4603.1,4603.1,49.56,24.78,0,1
FBATI22NV01Z,MDERI4K5OGZ2UE,FC-C,HDSC,SKU-0002,Standard,Automated (SSCC),SSCC-Item-Mismatch,SSCC Wrong Item,1,1,357,4641,4430,211,161,211,16.08,74627.28,71234.4,3392.88,3392.88,2.15,1.07,0,0
FBA9OHTUGUR9,MU1OE5EI28DS22,FC-E,HDSC,SKU-0158,Standard,Manual,SSCC-Wrong-Qty,SSCC Wrong Qty,0,1,141,10026,9919,107,164,49,33.87,339580.62,335956.53,3624.09,1659.63,0.61,0.3,1,1
FBAV07OXK8C1,MGRA47SH2SZWYM,FC-C,HDSC_LITE,SKU-0168,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,29,40,6076,5914,162,44,162,34.9,212052.4,206398.6,5653.8,5653.8,28.92,14.46,0,0
FBADK36M8JVH,M7UJODCK82853U,FC-E,HDSC_LITE,SKU-0178,Standard,Automated (SSCC),GTIN-Multi-ASIN-Link,SSCC Wrong Item,1,1,470,7050,6663,387,288,387,18.48,130284.0,123132.24,7151.76,7151.76,4.23,2.12,0,0
FBAN2HZ2OMTZ,MJKO0MTGLHUG07,FC-F,HDSC_LITE,SKU-0049,Standard,Automated (SSCC),SSCC-Wrong-Qty,SSCC Wrong Qty,0,1,34,4225,3847,378,51,120,26.53,112089.25,102060.91,10028.34,3183.6,13.81,6.91,0,1
FBAC8RA484NL,M65UJG1SO1ESP7,FC-F,HDSC_LITE,SKU-0009,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,14,471,8007,7651,356,201,356,30.53,244453.71,233585.03,10868.68,10868.68,19.98,9.99,0,1
FBADN5GJJ8MG,MPP1NOQU9Y3Z2T,FC-B,HDSC_LITE,SKU-0220,High-compliance,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,27,297,6217,6016,201,74,201,28.6,177806.2,172057.6,5748.6,5748.6,26.34,13.17,0,1
FBARJ4BDFHJ4,MD0JMU3MOMYVUX,FC-A,HDSC,SKU-0138,Standard,Automated (SSCC),SSCC-Wrong-Qty,SSCC Wrong Qty,0,1,402,5173,4881,292,181,166,24.54,126945.42,119779.74,7165.68,4073.64,7.95,3.98,0,0
FBAG3MWU4CFI,MLKJXJQ5NV8OGA,FC-B,HDSC,SKU-0187,High-compliance,Automated (SSCC),Unscannable-Barcode,Unscannable Barcode,0,1,444,3552,3213,339,64,40,9.74,34596.48,31294.62,3301.86,389.6,6.57,3.29,1,0
FBA9DWD7OI0P,MESGBM65Q57TE8,FC-A,HDSC_LITE,SKU-0139,Standard,Automated (SSCC),Wrong-Product-Submitted,SSCC Wrong Item + Qty,1,1,391,8585,7649,936,445,936,19.75,169553.75,151067.75,18486.0,18486.0,10.26,5.13,0,0
FBAKA34MQA78,MRAPKIANOUOF0O,FC-A,HDSC,SKU-0097,Standard,Manual,MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,53,79,4257,4122,135,40,135,16.51,70283.07,68054.22,2228.85,2228.85,14.5,7.25,0,0
FBAJGCEDQQZR,MLF8A9KEPADAHP,FC-B,HDSC_LITE,SKU-0202,High-compliance,Automated (SSCC),Unscannable-Barcode,Unscannable Barcode,0,1,414,8716,7955,761,474,713,28.33,246924.28,225365.15,21559.13,20199.29,5.55,2.77,0,0
FBA6JNA9ZN9I,M9H0DXHO87F00T,FC-C,HDSC_LITE,SKU-0032,Standard,Automated (SSCC),SSCC-Wrong-Qty,SSCC Wrong Qty,0,1,98,2976,2729,247,163,76,9.36,27855.36,25543.44,2311.92,711.36,14.04,7.02,0,1
FBAOI8UYYF1I,MRYM81CMFTDRLU,FC-C,HDSC_LITE,SKU-0166,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,36,61,9580,8681,899,197,899,3.68,35254.4,31946.08,3308.32,3308.32,16.74,8.37,0,0
FBAGM0J36TCF,MKJNAWNGA41IZX,FC-D,HDSC,SKU-0138,High-compliance,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,63,290,3770,3672,98,134,98,24.86,93722.2,91285.92,2436.28,2436.28,48.15,24.07,0,0
FBA7GBDGBXNR,MWVBHZA7X73QXM,FC-B,HDSC_LITE,SKU-0191,High-compliance,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,9,427,5978,5600,378,29,378,29.36,175514.08,164416.0,11098.08,11098.08,6.31,3.15,1,1
FBAGSIWG0ODW,MMQX5GGOMF9PML,FC-A,HDSC,SKU-0084,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,30,197,8711,7866,845,440,845,29.44,256451.84,231575.04,24876.8,24876.8,12.98,6.49,0,0
FBAO09VS9KKH,M4A3YJTU7FBMEN,FC-E,HDSC_LITE,SKU-0150,Standard,Manual,MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,58,491,7332,7093,239,131,239,28.95,212261.4,205342.35,6919.05,6919.05,7.15,3.58,0,0
FBAK0UCC1M3O,M55IXVA1NKBTFS,FC-B,HDSC,SKU-0057,High-compliance,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,13,328,9753,9649,104,402,104,34.07,332284.71,328741.43,3543.28,3543.28,18.84,9.42,0,1
FBA0TJOPZ1RH,MOUU9SIJPYUEON,FC-C,HDSC_LITE,SKU-0049,Standard,Manual,MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,11,292,7797,7444,353,304,353,23.97,186894.09,178432.68,8461.41,8461.41,18.07,9.04,0,0
FBAYF0D0IWF3,MKM2KQL0HT1TW9,FC-D,HDSC,SKU-0178,High-compliance,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,6,102,3826,3483,343,4,343,15.05,57581.3,52419.15,5162.15,5162.15,17.73,8.87,0,0
FBAANJ4X5A5X,MIN9DL5TGSQ7AI,FC-A,HDSC,SKU-0136,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,60,483,10728,10044,684,501,684,15.59,167249.52,156585.96,10663.56,10663.56,11.11,5.55,0,0
FBA563BTKF6X,MDN8WWIIF86LTH,FC-A,HDSC,SKU-0036,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,8,131,10253,9144,1109,207,1109,30.6,313741.8,279806.4,33935.4,33935.4,6.97,3.48,0,0
FBAU8EL5015O,MOP767J2DG1WJU,FC-A,HDSC,SKU-0060,Standard,Automated (SSCC),Correct,Correct,0,1,34,5202,5202,0,0.7,0,7.29,37922.58,37922.58,0.0,0.0,0.21,0.1,0,0
FBAEGB1AJO09,M1C795RLQIOB0N,FC-B,HDSC_LITE,SKU-0081,High-compliance,Manual,Correct,Correct,0,1,242,8052,8052,0,1.0,0,17.62,141876.24,141876.24,0.0,0.0,0.21,0.1,0,0
FBAN18GP51KF,MK7Y6QXDSGV6TO,FC-A,HDSC,SKU-0083,Standard,Automated (SSCC),SSCC-Wrong-Qty,SSCC Wrong Qty,0,1,285,4275,4249,26,91,14,21.89,93579.75,93010.61,569.14,306.46,11.37,5.68,0,0
FBADZ09WFTBG,MM55FF1BL08KG6,FC-A,HDSC_LITE,SKU-0246,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,58,185,10389,10381,8,259,8,3.39,35218.71,35191.59,27.12,27.12,30.09,15.04,0,0
FBAPVA5KW3HG,MBMFBUVLDD9FKX,FC-D,HDSC_LITE,SKU-0180,High-compliance,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,61,209,7435,6848,587,403,587,20.99,156060.65,143739.52,12321.13,12321.13,58.77,29.39,0,0
FBAPTKEZJSSZ,MWD0W9RY79KVLS,FC-B,HDSC_LITE,SKU-0160,High-compliance,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,49,388,4656,4523,133,254,133,19.63,91397.28,88786.49,2610.79,2610.79,33.33,16.66,0,1
FBA20HWOBM3H,MXYJCKT1ELOU83,FC-B,HDSC_LITE,SKU-0050,High-compliance,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,4,320,7617,6763,854,173,854,32.51,247628.67,219865.13,27763.54,27763.54,8.94,4.47,0,1
FBAM2O04K0LT,MHY25M8KB9W4UO,FC-A,HDSC,SKU-0153,Standard,Automated (SSCC),Correct,Correct,0,1,458,8798,8798,0,0,0,25.71,226196.58,226196.58,0.0,0.0,0.21,0.1,0,0
FBASGNBHDS26,MFMR5LL1D9S9HB,FC-A,HDSC_LITE,SKU-0100,Standard,Automated (SSCC),SSCC-Item-Mismatch,SSCC Wrong Item,1,1,110,4959,4424,535,59,535,3.13,15521.67,13847.12,1674.55,1674.55,14.72,7.36,0,0
FBA1WHHKT1YJ,MFE8UDTTJ72UGL,FC-D,HDSC_LITE,SKU-0229,High-compliance,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,40,295,3245,2968,277,113,277,4.62,14991.9,13712.16,1279.74,1279.74,2.76,1.38,0,1
FBAV4ZWL3ZYT,M91QE37QQYZQII,FC-A,HDSC,SKU-0221,Standard,Manual,SSCC-Item-Mismatch,SSCC Wrong Item,1,1,456,9767,9238,529,372,529,15.55,151876.85,143650.9,8225.95,8225.95,11.18,5.59,0,0
FBAR4KMUSOZD,MUCKQVIIFRCHYP,FC-D,HDSC,SKU-0112,High-compliance,Manual,MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,61,179,3401,2997,404,87,404,20.42,69448.42,61198.74,8249.68,8249.68,15.89,7.95,0,1
FBADQLOVYV3L,MXCHFU131XQKWQ,FC-F,HDSC,SKU-0053,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,60,284,6248,5923,325,153,325,21.25,132770.0,125863.75,6906.25,6906.25,54.97,27.48,0,0
FBAOEKNTBZ3M,M55IZOLNNTXRGN,FC-B,HDSC_LITE,SKU-0237,High-compliance,Automated (SSCC),Unscannable-Barcode,Unscannable Barcode,0,1,261,10019,9164,855,157,295,34.92,349863.48,320006.88,29856.6,10301.4,10.73,5.37,0,1
FBAE346Z7WQP,M3NIPAR0ZJ7UBB,FC-D,HDSC,SKU-0124,High-compliance,Manual,Correct,Correct,0,1,43,2225,2225,0.7,0,0,7.55,16798.75,16798.75,0.0,0.0,0.21,0.1,0,0
FBAVIWXYYTUW,M6TAQ6ULM9KGZV,FC-B,HDSC,SKU-0078,High-compliance,Automated (SSCC),SSCC-Wrong-Qty,SSCC Wrong Qty,0,1,455,10920,9765,1155,266,125,23.14,252688.8,225962.1,26726.7,2892.5,9.33,4.67,0,0
FBAC2JWJJ0V6,M0XNG2IGSB98V3,FC-F,HDSC_LITE,SKU-0215,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,11,258,4128,3742,386,105,386,27.65,114139.2,103466.3,10672.9,10672.9,6.12,3.06,0,0
FBAGOK01TNZR,MF5A7QY8YB7W8P,FC-B,HDSC_LITE,SKU-0236,High-compliance,Automated (SSCC),Unscannable-Barcode,Unscannable Barcode,0,1,26,1901,1681,220,34,85,11.65,22146.65,19583.65,2563.0,990.25,12.74,6.37,0,0
FBAY9LAACOSY,MM0JBWCV6HVE8D,FC-A,HDSC,SKU-0155,Standard,Manual,Wrong-Product-Submitted,SSCC Wrong Item + Qty,1,1,172,8519,8134,385,189,385,31.67,269796.73,257603.78,12192.95,12192.95,11.12,5.56,0,0
FBA1J2JCN9J3,MGC9HOXDTPWDPJ,FC-D,HDSC_LITE,SKU-0009,High-compliance,Automated (SSCC),Wrong-Product-Submitted,SSCC Wrong Item + Qty,1,1,394,10938,10793,145,585,145,26.28,287450.64,283640.04,3810.6,3810.6,12.36,6.18,1,0
FBAZ6US7RP42,M2TA83RU7MYOW8,FC-A,HDSC_LITE,SKU-0024,Standard,Manual,Manufacturer-Barcode-Missing,Missing Barcode,0,1,77,4366,4017,349,41,235,27.33,119322.78,109784.61,9538.17,6422.55,4.94,2.47,0,0
FBAYR5PGBA9I,MN2XR838AMMZOH,FC-A,HDSC_LITE,SKU-0168,Standard,Automated (SSCC),Manufacturer-Barcode-Missing,Missing Barcode,0,1,322,7084,6548,536,234,152,26.71,189213.64,174897.08,14316.56,4059.92,4.07,2.04,1,0
FBAIXAW63DW4,MC3EVWCHM40OEY,FC-A,HDSC,SKU-0140,Standard,Automated (SSCC),Correct,Correct,0,1,23,10132,10132,0,0,0,13.74,139213.68,139213.68,0.0,0.0,0.21,0.1,0,0
FBAP7BD4W1AR,MAGDX5O31YHXSO,FC-C,HDSC_LITE,SKU-0241,Standard,Automated (SSCC),Manufacturer-Barcode-Missing,Missing Barcode,0,1,84,9068,8990,78,184,63,22.59,204846.12,203084.1,1762.02,1423.17,1.87,0.94,0,0
FBA59SQWHBEF,M46RF7BNHJW6QD,FC-E,HDSC_LITE,SKU-0014,Standard,Manual,MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,13,185,10141,9780,361,161,361,28.14,285367.74,275209.2,10158.54,10158.54,12.43,6.21,1,0
FBA2LD05NHQR,M6F7QNEZW9HEYC,FC-F,HDSC,SKU-0035,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,26,117,5337,4860,477,234,477,16.38,87420.06,79606.8,7813.26,7813.26,26.51,13.26,0,0
FBAIOS5HRQAP,M5IPI7866PB90S,FC-F,HDSC_LITE,SKU-0109,Standard,Automated (SSCC),SSCC-Wrong-Qty,SSCC Wrong Qty,0,1,437,9057,8249,808,490,713,29.28,265188.96,241530.72,23658.24,20876.64,7.41,3.71,0,0
FBA9AYFQUV9Q,MEZG5WZAWNYTK1,FC-C,HDSC_LITE,SKU-0179,Standard,Manual,MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,38,331,6620,6064,556,294,556,28.42,188140.4,172338.88,15801.52,15801.52,34.57,17.29,1,0
FBABNQBNXZU1,MEMTX015Z11L6S,FC-A,HDSC,SKU-0109,Standard,Automated (SSCC),Correct,Correct,0,1,454,5964,5964,0,0.7,0,19.05,113614.2,113614.2,0.0,0.0,0.21,0.1,0,0
FBANYY95G5DO,MG8CFEFFH8AOY7,FC-E,HDSC,SKU-0122,Standard,Manual,Correct,Correct,0,1,317,7406,7406,0,0,0,3.71,27476.26,27476.26,0.0,0.0,0.21,0.1,0,0
FBAXLVZ4QKE2,MGJR81BMQF7ZK9,FC-E,HDSC_LITE,SKU-0215,Standard,Automated (SSCC),SSCC-Item-Mismatch,SSCC Wrong Item,1,1,335,7705,6995,710,341,710,28.42,218976.1,198797.9,20178.2,20178.2,2.98,1.49,1,0
FBABLMNTFK7O,MRFQLA09LZRK79,FC-D,HDSC_LITE,SKU-0147,High-compliance,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,27,362,9216,8914,302,452,302,13.84,127549.44,123369.76,4179.68,4179.68,5.0,2.5,0,1
FBADBXVH7KAT,MQYDSHLV76MF4N,FC-A,HDSC_LITE,SKU-0096,Standard,Manual,MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,29,182,7307,7015,292,176,292,14.24,104051.68,99893.6,4158.08,4158.08,35.95,17.98,0,1
FBA060O4VFK9,MSM7VNAWJGQU6H,FC-D,HDSC,SKU-0214,High-compliance,Automated (SSCC),Physical-Virtual-Mismatch,SSCC Wrong Item + Qty,1,37,412,5356,5059,297,283,297,18.7,100157.2,94603.3,5553.9,5553.9,35.43,17.71,0,0
FBAKXWEXKG6X,MB1R8VNRPJY93N,FC-D,HDSC_LITE,SKU-0188,High-compliance,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,1,134,2546,2537,9,66,9,8.21,20902.66,20828.77,73.89,73.89,1.42,0.71,0,0
FBA8BKXCGW1V,MGLL42JZNTMFEK,FC-A,HDSC_LITE,SKU-0200,Standard,Manual,MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,54,466,10425,9581,844,348,844,32.47,338499.75,311095.07,27404.68,27404.68,10.6,5.3,0,0
FBATT1EQC37R,MLN36V1MZB3I4F,FC-E,HDSC,SKU-0059,Standard,Automated (SSCC),Manufacturer-Barcode-Missing,Missing Barcode,0,1,433,8613,8356,257,214,66,34.4,296287.2,287446.4,8840.8,2270.4,6.99,3.5,0,1
FBAXVQ6BKADE,MVVHYBF0JUM42W,FC-D,HDSC,SKU-0130,High-compliance,Manual,MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,14,406,7714,7644,70,50,70,29.23,225480.22,223434.12,2046.1,2046.1,19.66,9.83,0,0
FBASZNVP8GMN,MHIE9EDE1ZUBLE,FC-A,HDSC,SKU-0073,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,13,471,7065,6450,615,376,615,12.98,91703.7,83721.0,7982.7,7982.7,24.18,12.09,0,0
FBAYG9RDPXDF,MOVD79C9MV9E40,FC-C,HDSC_LITE,SKU-0072,Standard,Manual,Correct,Correct,0,1,480,11040,11040,0,1.5,0,14.4,158976.0,158976.0,0.0,0.0,0.21,0.1,0,0
FBAJRWEDBCY8,MNYFWDC112HXRJ,FC-D,HDSC,SKU-0088,High-compliance,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,59,62,1771,1631,140,2,140,33.48,59293.08,54605.88,4687.2,4687.2,3.78,1.89,0,0
FBAGX25FPLO1,MURTTQUFCJVNY1,FC-B,HDSC,SKU-0073,High-compliance,Automated (SSCC),SSCC-Item-Mismatch,SSCC Wrong Item,1,1,16,590,582,8,1,8,21.89,12915.1,12739.98,175.12,175.12,2.48,1.24,0,0
FBAMXIXV6CKM,MALQ5U6JZV9NOU,FC-B,HDSC,SKU-0207,High-compliance,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,45,210,5856,5753,103,345,103,9.59,56159.04,55171.27,987.77,987.77,25.03,12.52,0,0
FBAW9C4HJKU2,MW8ZUVJUTPMC3S,FC-B,HDSC_LITE,SKU-0077,High-compliance,Automated (SSCC),Correct,Correct,0,1,254,3556,3556,0,0.4,0,11.04,39258.24,39258.24,0.0,0.0,0.21,0.1,0,0
FBASGRX37JW3,M4670CHQI014O4,FC-E,HDSC_LITE,SKU-0234,Standard,Automated (SSCC),Correct,Correct,0,1,360,10287,10287,1.3,0,0,23.67,243493.29,243493.29,0.0,0.0,0.21,0.1,0,0
FBA2LR9P6HJB,M2JTXB02B6LKC8,FC-C,HDSC_LITE,SKU-0230,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,25,125,1500,1328,172,84,172,31.34,47010.0,41619.52,5390.48,5390.48,14.07,7.04,0,0
FBA387J5IE3L,MVO0IPFG8PJVRN,FC-F,HDSC,SKU-0243,Standard,Manual,Correct,Correct,0,1,340,8552,8552,0.6,0,0,33.83,289314.16,289314.16,0.0,0.0,0.21,0.1,0,0
FBAX6B02B7YJ,MNXZ6YTIPA877K,FC-B,HDSC,SKU-0240,High-compliance,Manual,GTIN-Multi-ASIN-Link,SSCC Wrong Item,1,1,10,5050,4745,305,107,305,30.5,154025.0,144722.5,9302.5,9302.5,2.96,1.48,0,0
FBA07LP7DFJC,MP0TLZ1XGPXAHK,FC-C,HDSC_LITE,SKU-0148,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,11,241,8056,7942,114,80,114,10.99,88535.44,87282.58,1252.86,1252.86,16.81,8.4,0,0
FBA5EGVLKDNO,MN4UAAUWIDQJ4B,FC-F,HDSC,SKU-0159,Standard,Automated (SSCC),Physical-Virtual-Mismatch,SSCC Wrong Item + Qty,1,41,244,7398,6783,615,133,615,7.78,57556.44,52771.74,4784.7,4784.7,43.89,21.95,0,0
FBAYEZG52KRE,M4V9KYPOFKJW6N,FC-E,HDSC,SKU-0176,Standard,Automated (SSCC),Wrong-Product-Submitted,SSCC Wrong Item + Qty,1,1,423,8883,7944,939,87,939,3.33,29580.39,26453.52,3126.87,3126.87,2.55,1.27,0,0
FBADCLI6978V,M0BJWKON8UUJS7,FC-C,HDSC,SKU-0225,Standard,Automated (SSCC),GTIN-Multi-ASIN-Link,SSCC Wrong Item,1,1,37,4199,4131,68,22,68,13.15,55216.85,54322.65,894.2,894.2,8.6,4.3,0,1
FBAMP6J37SPF,M0R8U7WPGBGQFQ,FC-A,HDSC,SKU-0030,Standard,Automated (SSCC),Correct,Correct,0,1,382,6112,6112,0,2.0,0,17.65,107876.8,107876.8,0.0,0.0,0.21,0.1,1,0
FBA403UXH9A1,MG7IRDLK9EN7DL,FC-A,HDSC_LITE,SKU-0008,Standard,Manual,MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,27,92,4655,4183,472,245,472,17.53,81602.15,73327.99,8274.16,8274.16,33.72,16.86,0,1
FBABXLBC8NOG,M85D4F2K1XERP3,FC-F,HDSC,SKU-0080,Standard,Manual,MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,17,441,9702,9433,269,367,269,24.3,235758.6,229221.9,6536.7,6536.7,23.24,11.62,0,0
FBA13WPPBMQI,MYFRWSKP6RFE64,FC-D,HDSC_LITE,SKU-0134,High-compliance,Automated (SSCC),SSCC-Wrong-Qty,SSCC Wrong Qty,0,1,46,6932,6629,303,291,24,20.63,143007.16,136756.27,6250.89,495.12,14.49,7.25,0,0
FBACSEXGGOC5,MKVQYWJ85GG0V5,FC-D,HDSC,SKU-0028,High-compliance,Automated (SSCC),Physical-Virtual-Mismatch,SSCC Wrong Item + Qty,1,46,299,4186,3912,274,4,274,3.19,13353.34,12479.28,874.06,874.06,7.23,3.62,0,0
FBAKEAEA84HX,MXPW2GKQRAFFZ8,FC-F,HDSC,SKU-0121,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,47,411,6472,6011,461,299,461,10.76,69638.72,64678.36,4960.36,4960.36,16.0,8.0,0,0
